,lat,long,temp,humidity,wind,clouds,city_name,city_id,city_country_code
0,35.98,-114.83,80.6,12,6.93,1,Boulder City,5500539,US
1,-21.21,-159.78,77.68,100,11.79,76,Avarua,4035715,CK
2,-14.4,-56.44,82.86,71,3.96,0,Diamantino,3464724,BR
3,-34.53,20.04,60.8,82,5.82,0,Bredasdorp,1015776,ZA
4,51.01,116.52,24.27,68,3.85,0,Kalanguy,2023298,RU
5,-42.88,147.33,51.8,87,5.82,0,Hobart,2163355,AU
6,70.47,-68.59,24.8,79,9.17,1,Clyde River,5924351,CA
7,23.99,-104.67,86.0,9,5.82,40,Constitucion,4011743,MX
8,-4.62,55.45,80.6,88,4.7,75,Victoria,241131,SC
9,0.53,72.93,85.15,100,13.8,76,Thinadhoo,1337610,MV
10,-54.81,-68.31,42.8,75,11.41,90,Ushuaia,3833367,AR
11,32.07,64.85,48.25,42,5.75,0,Sangin,1127547,AF
12,17.01,54.1,82.4,61,2.24,0,Salalah,286621,OM
13,-34.72,135.86,60.9,100,7.54,8,Port Lincoln,2063036,AU
14,-44.7,169.14,34.53,75,1.39,0,Wanaka,2184707,NZ
15,39.51,-90.4,66.2,29,18.34,40,Barrow,4252975,US
16,-37.62,-73.65,57.57,93,15.03,20,Lebu,3883457,CL
17,53.07,76.1,50.86,53,14.81,20,Kachiry,1523662,KZ
18,-0.74,-90.35,89.6,55,19.46,75,Puerto Ayora,3652764,EC
19,-2.57,150.8,83.04,100,6.87,12,Kavieng,2094342,PG
20,-21.21,-159.78,77.68,100,11.79,76,Avarua,4035715,CK
21,-23.12,-134.97,76.92,100,8.55,44,Rikitea,4030556,PF
22,65.95,111.51,27.33,87,8.77,76,Aykhal,2027296,RU
23,-17.97,122.23,82.4,88,4.7,8,Broome,2075720,AU
24,50.78,28.48,52.66,58,14.92,0,Stavyshche,699882,UA
25,-54.81,-68.31,42.8,75,11.41,90,Ushuaia,3833367,AR
26,-54.81,-68.31,42.8,75,11.41,90,Ushuaia,3833367,AR
27,-23.12,-134.97,76.92,100,8.55,44,Rikitea,4030556,PF
28,-33.64,115.35,67.33,100,23.31,56,Busselton,2075265,AU
29,-46.43,-67.52,66.3,35,22.53,0,Mar del Plata,3863379,AR
30,22.68,-3.98,81.96,17,7.65,0,Taoudenni,2450173,ML
31,38.52,-28.7,64.4,82,11.41,40,Ribeira Grande,3372707,PT
32,-20.34,57.76,78.8,78,11.41,75,Bambous Virieux,1106677,MU
33,-46.6,168.33,53.11,100,22.75,76,Bluff,2206939,NZ
34,44.08,-80.2,55.4,25,10.29,1,Shelburne,6145890,CA
35,3.07,172.79,83.67,99,14.25,48,Butaritari,2110227,KI
36,30.51,-87.21,75.2,64,10.29,75,Ferry Pass,4155017,US
37,-33.93,18.42,55.4,93,5.82,0,Cape Town,3369157,ZA
38,22.08,-159.32,78.8,74,12.75,20,Kapaa,5848280,US
39,-15.94,-5.72,76.92,97,12.91,92,Jamestown,3370903,SH
40,-35.02,117.88,62.83,78,14.7,32,Albany,2077963,AU
41,46.68,-71.73,46.4,33,6.93,75,Donnacona,7535690,CA
42,10.44,45.01,69.72,89,2.62,0,Berbera,64435,SO
43,-0.74,-90.35,89.6,55,19.46,75,Puerto Ayora,3652764,EC
44,-33.92,25.57,65.85,100,16.26,0,Port Elizabeth,964420,ZA
45,5.88,-55.08,80.6,78,9.1,20,Nieuw Amsterdam,3383434,SR
46,65.85,44.24,19.59,89,4.74,0,Mezen,527321,RU
47,4.94,-52.33,82.4,78,6.93,20,Cayenne,3382160,GF
48,-0.74,-90.35,89.6,55,19.46,75,Puerto Ayora,3652764,EC
49,-1.13,12.47,76.92,80,2.51,24,Koulamoutou,2399959,GA
50,-53.16,-70.91,48.2,57,19.46,75,Punta Arenas,3874787,CL
51,61.92,63.02,13.56,74,2.39,76,Agirish,1512101,RU
52,42.84,93.51,51.13,37,4.74,88,Hami,1529484,CN
53,65.28,-126.83,17.6,37,6.93,75,Norman Wells,6089245,CA
54,68.06,166.44,25.71,80,3.18,0,Bilibino,2126682,RU
55,17.98,120.66,73.32,100,4.52,8,Banna,1726339,PH
56,-2.92,-39.92,79.8,91,6.64,64,Itarema,3393692,BR
57,-23.12,-134.97,76.92,100,8.55,44,Rikitea,4030556,PF
58,-25.24,130.99,64.4,36,8.05,0,Yulara,6355222,AU
59,-42.88,147.33,51.8,87,5.82,0,Hobart,2163355,AU
60,-21.21,-159.78,77.68,100,11.79,76,Avarua,4035715,CK
61,-23.12,-134.97,76.92,100,8.55,44,Rikitea,4030556,PF
62,-42.48,-73.76,54.69,97,12.68,100,Castro,3896218,CL
63,-54.81,-68.31,42.8,75,11.41,90,Ushuaia,3833367,AR
64,32.73,108.99,56.67,94,1.95,0,Ankang,1789065,CN
65,66.04,-17.34,37.4,86,8.05,90,Husavik,2629833,IS
66,55.74,-97.86,62.6,29,9.17,75,Thompson,6165406,CA
67,64.73,177.51,14.0,78,4.47,0,Anadyr,2127202,RU
68,54.43,31.9,48.57,59,22.53,48,Sobolevo,525426,RU
69,-42.48,-73.76,54.69,97,12.68,100,Castro,3896218,CL
70,-14.66,17.68,64.36,51,5.08,0,Menongue,3347353,AO
71,-54.81,-68.31,42.8,75,11.41,90,Ushuaia,3833367,AR
72,71.64,128.87,19.18,81,2.95,24,Tiksi,2015306,RU
73,-9.8,-139.03,81.01,100,14.92,24,Atuona,4020109,PF
74,-42.78,147.06,53.6,81,4.7,0,New Norfolk,2155415,AU
75,-2.54,115.51,72.6,99,0.6,32,Labuhan,1641899,ID
76,29.6,-90.72,77.0,64,9.17,40,Houma,4328010,US
77,19.71,-155.08,73.4,88,3.36,90,Hilo,5855927,US
78,-34.67,150.86,53.6,100,4.7,48,Kiama,2161515,AU
79,73.51,80.55,14.37,89,14.25,64,Dikson,1507390,RU
80,-34.53,20.04,60.8,82,5.82,0,Bredasdorp,1015776,ZA
81,-35.1,173.78,62.65,82,9.66,0,Kaeo,2189343,NZ
82,-24.87,113.63,73.32,100,10.56,8,Carnarvon,2074865,AU
83,27.97,-114.04,77.86,32,5.53,64,Guerrero Negro,4021858,MX
84,71.98,102.47,16.75,85,12.68,88,Khatanga,2022572,RU
85,-33.86,121.89,64.36,72,8.99,44,Esperance,2071860,AU
86,-23.12,-134.97,76.92,100,8.55,44,Rikitea,4030556,PF
87,-33.64,115.35,67.33,100,23.31,56,Busselton,2075265,AU
88,-33.59,26.89,68.5,92,7.99,24,Port Alfred,964432,ZA
89,-9.8,-139.03,81.01,100,14.92,24,Atuona,4020109,PF
90,-0.74,-90.35,89.6,55,19.46,75,Puerto Ayora,3652764,EC
